method,edges,hpn_precision,hpn_recall,hpn_f1,hpn_aupr,beeline_precision,beeline_recall,beeline_f1,beeline_aupr
omnipath_relaxed_immune,39950,0.00066668376112208,0.2047244094488189,0.0013290395133670704,0.00019937742025803132,5.0487201494421164e-05,0.041666666666666664,0.00010085220109928898,1.2334568098040918e-06
omnipath_dorothea_intersection_immune,3950,0.003050330452465684,0.07692307692307693,0.0058679706601467,0.003731561157628521,0.0002541942043721403,0.020833333333333332,0.0005022601707684581,0.00028895313429252187
omnipath_dorothea_union_immune,42100,0.0008860365430206662,0.23717948717948717,0.0017654777525945367,0.0006744426720532492,4.789386719030628e-05,0.041666666666666664,9.567775731336856e-05,2.6544377997009007e-05
omnipath_intercell_union,43750,0.0008724200472943499,0.24358974358974358,0.0017386132271864205,0.0007202008450681626,0.0,0.0,0.0,2.141593377857147e-05
omnipath_intercell_union_sources,43750,0.0008990939899024829,0.25,0.0017917441940596792,0.0007729527421850125,4.610738409756323e-05,0.041666666666666664,9.211283822682788e-05,2.5719237403532595e-05
omnipath_intercell_union_targets,39950,0.0009556622991222997,0.24358974358974358,0.0019038553069966684,0.0007583188302276544,0.0,0.0,0.0,2.6101975436066778e-05
omnipath_intercell_union_sources_relaxed,61900,0.0006364749082007344,0.25,0.0012697172437368756,0.0006129663670445762,3.2639738882088947e-05,0.041666666666666664,6.52283808685159e-05,1.6739439193415777e-05
omnipath_dorothea_intersection_scaled,3950,0.003051881993896236,0.07692307692307693,0.005870841487279843,0.0035034565876723134,0.0,0.0,0.0,0.000314662720231382
omnipath_dorothea_union_scaled,42100,0.000933282281994831,0.25,0.0018596223536143427,0.0006771969327898671,4.7860629845888775e-05,0.041666666666666664,9.561143512764126e-05,2.770762264895995e-05
omnipath_prior,84547,0.01107011070110701,0.11538461538461539,0.020202020202020204,0.0019695128509511963,0.0006150061500615006,0.020833333333333332,0.0011947431302270013,7.801856933141297e-06
trrust_prior,8406,0.0012853470437017994,0.00641025641025641,0.002141327623126338,9.006381443704029e-06,0.007712082262210797,0.125,0.014527845036319613,0.0010296167496008496
random_3950,3950,0.0,0.0,0.0,3.014112409091841e-06,0.0,0.0,0.0,1.2372369853454842e-06
genie3,9410,0.0,0.0,0.0,3.015093128955917e-06,0.0,0.0,0.0,1.2367733550178578e-06
grnboost2,8060,0.0,0.0,0.0,3.0151337497466787e-06,0.0,0.0,0.0,1.2367659043099808e-06
pearson,50000,0.0,0.0,0.0,3.014392064481389e-06,0.0,0.0,0.0,1.2367378828042473e-06
spearman,50000,2.004008016032064e-05,0.0064102564102564,3.995525011986575e-05,3.0143920724455973e-06,0.0,0.0,0.0,1.2367378828042473e-06
scenic_grnboost2,3488,0.0,0.0,0.0,3.0148447640771995e-06,0.0,0.0,0.0,1.2375225195087353e-06
pidc_proxy,15000,0.0,0.0,0.0,3.014717318258888e-06,0.0,0.0,0.0,1.2376754593969735e-06
omnipath_dorothea_union_scaled_1200x420,42100,0.0008374007082017418,0.22435897435897437,0.0016685736079328757,0.0005237511145840246,7.17772035601493e-05,0.0625,0.0001433897332950961,2.7767371366711763e-05
scenic_pruned,29,0.0,0.0,0.0,3.014751626104746e-06,0.0,0.0,0.0,1.237330177644851e-06
pidc_full,9950,0.0,0.0,0.0,3.014724826426898e-06,0.0,0.0,0.0,1.2373111562757078e-06
random,50000,0.0,0.0,0.0,3.0137961912244524e-06,0.0,0.0,0.0,1.2366896630794875e-06
