method,aupr_ratio_min,aupr_ratio_median,aupr_ratio_max,f1_ratio_min,f1_ratio_median,f1_ratio_max,aupr_ratio_range,f1_ratio_range
probe_consensus,3.717105916883037e-05,0.0011407473456728674,0.006510415267002274,0.0,0.0006005494506803823,0.0033037452217072934,0.0064732442078334436,0.0033037452217072934
probe_integrated_gradients,7.171665664177275e-05,0.0010633656051083264,0.005737581093800047,2.1663630119576826e-05,0.0004343331128022055,0.002233544159638556,0.0056658644371582745,0.0022118805295189793
probe_perturbation,3.717137408418679e-05,0.0010370736544075322,0.005888546124763198,0.0,0.00042225043798800946,0.002322885926023657,0.005851374750679011,0.002322885926023657
probe_grad_input,3.717137496032459e-05,0.0010251198156484038,0.005816843356779755,0.0,0.00030856762776040674,0.0016974935613246406,0.0057796719818194306,0.0016974935613246406
probe_attention,3.717105783710296e-05,0.0008798592288030647,0.004945529015324347,0.0,0.00029215919222282366,0.001607227405154542,0.004908357957487244,0.001607227405154542
attention_inferred,3.717125997148134e-05,0.0008787053221341224,0.004938605726080425,0.0,3.2500548571250996e-05,0.00017879215762080754,0.004901434466108944,0.00017879215762080754
pidc_proxy,1.2387992741601892e-06,7.094851033663818e-06,0.006138416601406932,0.0,0.0,0.02231480086387065,0.006137177802132771,0.02231480086387065
scenic_grnboost2,1.2386461954018594e-06,7.094555467457863e-06,0.007704305324913909,0.0,0.0,0.09541814825812979,0.007703066678718507,0.09541814825812979
scenic_pruned,1.2384536788907163e-06,7.093889194199989e-06,0.005418169534886851,0.0,0.0,0.001549085350308181,0.00541693108120796,0.001549085350308181
pidc_full,1.2384346402500862e-06,7.093802859570119e-06,0.005271638060819525,0.0,0.0,0.0,0.005270399626179275,0.0
grnboost2,1.237888893193175e-06,7.0926963092104825e-06,0.027538612789129304,0.0,0.0,0.2571470640838436,0.02753737490023611,0.2571470640838436
genie3,1.2378963506663275e-06,7.0926707093040885e-06,0.022116912777902797,0.0,0.0,0.2603047809800145,0.022115674881552132,0.2603047809800145
spearman,1.237860846243791e-06,7.091752925447238e-06,0.005823296806784229,0.0,0.0,0.01958857390064793,0.005822058945937986,0.01958857390064793
pearson,1.237860846243791e-06,7.091752916190038e-06,0.005800372214033909,0.0,0.0,0.019296207126011287,0.005799134353187666,0.019296207126011287
random,1.237812582735309e-06,7.090920409577744e-06,0.0052900789238917705,0.0,0.0,0.007027203442133171,0.005288841111309036,0.007027203442133171
